area,auv_count,method,regular_latency,priority_latency,regular_std,priority_std,transmitted_data,priority_objects,regular_objects,travelled_distance,w1,w2,w3,regular_latency_normalized,priority_latency_normalized,regular_std_normalized,priority_std_normalized,travelled_distance_normalized,priority_objects_normalized,regular_objects_normalized,transmitted_data_normalized,priority,regular,distance,utility,area,auv_count,w1,w2,w3
25000,6,owa,396,261.75,305.689087443137,221.831016767268,840,16,12,1099.8064881582,0.6,0.4,0,0.700759089093088,0.866907931366098,0.843440747649936,0.746873221890784,0.045321868985633,0.666666666666667,0.48,0.571428571428571,0.110709541185966,0.084444274218824,0.955689825408541,1.15084364081333,25000,6,0.6,0.4,0
25000,6,owa,503,225.375,283.70439160891,243.230446284999,840,16,12,1091.09366750191,0.8,0.2,0,1,0.679113731841879,0.758172196841241,0.846759280481684,0.037318839899851,0.666666666666667,0.48,0.571428571428571,0.119065543985182,0.070569315387282,0.963368925924483,1.15300378529695,25000,6,0.8,0.2,0
25000,6,owa,430.222222222222,249.352941176471,244.41500454032,268.806375755968,780,17,9,1184.24868950348,1,0,0,0.796466462467262,0.802905299387559,0.605786686358771,0.96613997647347,0.12288497054511,0.708333333333333,0.36,0.530612244897959,0.103176611355948,0.071085173102415,0.884365384778318,1.05862716923668,25000,6,1,0,0
25000,6,owa,479.181818181818,253,299.63071210469,220.908069114734,840,17,11,1079.35277450144,0.6386,0.2878,0.0736,0.933389024080195,0.821734068937592,0.81994308867572,0.742565181659104,0.02653442095191,0.708333333333333,0.44,0.571428571428571,0.122563340152804,0.064956062124919,0.973814523635752,1.16133392591348,25000,6,0.6386,0.2878,0.0736
35000,3,owa,362.323529411765,298.0625,213.596294456031,234.286967338169,1980,32,34,2679.5230224907,0.4,0.4,0.2,0.320915130515944,0.521464646464646,0.190895870743728,0.412391331352038,0.900699703115964,0.941176470588235,1,0.985074626865672,0.265546423937564,0.374769080611449,0.406285281184705,1.04660078573372,35000,3,0.4,0.4,0.2
35000,3,owa,295.645161290323,239.176470588235,137.955680899603,199.425914031165,1950,34,31,2818.44789273733,0.6,0.2,0.2,0.090353001393077,0.283541295306001,0,0.265279180299626,1,1,0.911764705882353,0.970149253731343,0.366138110936413,0.435301183082401,0.367879441171442,1.16931873519026,35000,3,0.6,0.2,0.2
35000,3,owa,307.65625,282.787878787879,208.001800453591,299.510095570224,1950,33,32,2637.89021682292,0.6,0.4,0,0.131885244367937,0.459749005203551,0.176776923874403,0.687630137480063,0.870941532706398,0.970588235294117,0.941176470588235,0.970149253731343,0.233880821266865,0.398533008911007,0.418557278300248,1.05097110847812,35000,3,0.6,0.4,0
35000,3,owa,269.515151515151,250.411764705882,188.941479235655,250.211197778519,2010,34,33,2728.4204509884,0.8,0.2,0,0,0.32893642305407,0.128673974354584,0.479590901408162,0.935650458571538,1,0.970588235294117,1,0.308204402680728,0.454114764047686,0.392330587723039,1.15464975445145,35000,3,0.8,0.2,0
35000,3,owa,437.7,295.78125,221.142511392151,244.956972439598,1860,32,30,2591.85381506726,1,0,0,0.581553775914976,0.512247474747475,0.209940423466281,0.457418295637601,0.838035773257462,0.941176470588235,0.882352941176471,0.925373134328358,0.25877376590522,0.275159934630299,0.432559334139677,0.966493034675196,35000,3,1,0,0
35000,3,owa,439,274.470588235294,201.960887302468,234.409152176032,1950,34,31,2541.29910653403,0.6,0.2667,0.1333,0.586048948432004,0.426143790849673,0.161531339236057,0.412906946131824,0.801900432210725,1,0.911764705882353,0.970149253731343,0.301734747418006,0.292994469009288,0.448475855774649,1.04320507220194,35000,3,0.6,0.2667,0.1333
35000,4,owa,433.413793103448,169.931034482759,371.874644512808,140.315443360024,1740,29,29,2061.95391047198,0.4,0.4,0.2,0.566732822496767,0.003761755485893,0.590346404436567,0.015835527132521,0.459275528589085,0.852941176470588,0.852941176470588,0.865671641791045,0.422291889648374,0.204022173127235,0.631741158167685,1.25805522094329,35000,4,0.4,0.4,0.2
35000,4,owa,401.88,245.375,382.118581071374,237.657214518944,1710,32,25,2135.24320811144,0.6,0.2,0.2,0.457694483945812,0.308585858585859,0.61619925117124,0.426613630029472,0.511661030199425,0.941176470588235,0.735294117647059,0.850746268656716,0.304992728565004,0.187252433024406,0.599498965452821,1.09174412704223,35000,4,0.6,0.2,0.2
35000,4,owa,558.714285714286,343,534.195857608157,369.570503615829,1500,29,21,2077.57216505145,0.6,0.4,0,1,0.703030303030303,1,0.983282057128975,0.470439097169706,0.852941176470588,0.617647058823529,0.746268656716418,0.133281796395197,0.073625334190132,0.624727891799015,0.831635022384344,35000,4,0.6,0.4,0
