area,auv_count,w1,w2,w3,n,utility_mean,utility_sd,utility_sem,utility_ci_low,utility_ci_high,priority_latency_mean,priority_latency_sd,priority_latency_sem,priority_latency_ci_low,priority_latency_ci_high,regular_latency_mean,regular_latency_sd,regular_latency_sem,regular_latency_ci_low,regular_latency_ci_high,priority_objects_mean,priority_objects_sd,priority_objects_sem,priority_objects_ci_low,priority_objects_ci_high,regular_objects_mean,regular_objects_sd,regular_objects_sem,regular_objects_ci_low,regular_objects_ci_high,travelled_distance_mean,travelled_distance_sd,travelled_distance_sem,travelled_distance_ci_low,travelled_distance_ci_high
50000,4,10.0,0.0,0.0,1,0.9512595565646351,0.0,,,,276.92857142857144,0.0,,,,529.8913043478261,0.0,,,,42.0,0.0,,,,46.0,0.0,,,,3332.112579861726,0.0,,,
50000,5,4.0,4.0,2.0,1,1.2026162034207541,0.0,,,,538.7674418604652,0.0,,,,675.8387096774194,0.0,,,,43.0,0.0,,,,31.0,0.0,,,,2502.732009646011,0.0,,,
50000,5,6.0,2.0,2.0,1,1.056594478394182,0.0,,,,525.7674418604652,0.0,,,,695.96875,0.0,,,,43.0,0.0,,,,32.0,0.0,,,,2542.058254723676,0.0,,,
50000,5,6.0,4.0,0.0,1,0.7559052024288944,0.0,,,,541.7380952380952,0.0,,,,640.7333333333333,0.0,,,,42.0,0.0,,,,30.0,0.0,,,,2566.3741954479515,0.0,,,
50000,5,8.0,2.0,0.0,1,0.7314865282870391,0.0,,,,549.3095238095239,0.0,,,,717.625,0.0,,,,42.0,0.0,,,,32.0,0.0,,,,2545.8912867254367,0.0,,,
50000,5,10.0,0.0,0.0,1,1.2769213667753412,0.0,,,,548.1428571428571,0.0,,,,717.34375,0.0,,,,42.0,0.0,,,,32.0,0.0,,,,2475.3652424848547,0.0,,,
50000,6,4.0,4.0,2.0,1,1.4747037380913823,0.0,,,,308.030303030303,0.0,,,,530.9354838709677,0.0,,,,33.0,0.0,,,,31.0,0.0,,,,1913.772951898822,0.0,,,
50000,6,6.0,2.0,2.0,1,1.23269428164158,0.0,,,,253.14285714285714,0.0,,,,571.8888888888889,0.0,,,,35.0,0.0,,,,27.0,0.0,,,,2156.3254211991307,0.0,,,
50000,6,6.0,4.0,0.0,1,1.3039169084017586,0.0,,,,274.30555555555554,0.0,,,,482.6666666666667,0.0,,,,36.0,0.0,,,,27.0,0.0,,,,2144.3705360974836,0.0,,,
50000,6,8.0,2.0,0.0,1,1.1460475978054372,0.0,,,,332.65625,0.0,,,,590.2903225806451,0.0,,,,32.0,0.0,,,,31.0,0.0,,,,2011.283629615284,0.0,,,
